Region,Zone,Woreda,Period,BCG Administered,IPV Administered,Measles Administered,Penta Administered,Rota Administered
Addis Ababa,Addis Ketema Sub City,Abebe Bikila Health Center,2015,728,726,4577,2256,1516
Addis Ababa,Addis Ketema Sub City,Abisiniya Health center,2015,343,456,845,1370,926
Addis Ababa,Addis Ketema Sub City,Addis Ketema Health Center,2015,994,1255,2243,3791,2536
Addis Ababa,Addis Ketema Sub City,Ginbot 20 Health center,2015,228,298,729,943,645
Addis Ababa,Addis Ketema Sub City,Kuas Meda Health Center,2015,605,728,1426,2195,1467
Addis Ababa,Addis Ketema Sub City,Addis Rae Health center,2015,321,338,691,1049,711
Addis Ababa,Addis Ketema Sub City,Ethiotebib General Hospital,2015,1915,1261,5123,4184,2723
Addis Ababa,Addis Ketema Sub City,Felege Mels Health center,2017,859,900,1819,2698,1798
Addis Ababa,Addis Ketema Sub City,Kolfe Health Center,2017,3338,2705,5397,8070,5365
Addis Ababa,Addis Ketema Sub City,Lomi Meda Health Center,2017,1789,1979,3869,5905,3923
Addis Ababa,Addis Ketema Sub City,MikililandHealth Center,2017,3128,3944,7807,11544,7525
Addis Ababa,Addis Ketema Sub City,Millinium Health center,2017,303,460,1009,1302,834
Addis Ababa,Addis Ketema Sub City,Woreda 10 Health Center,2017,161,228,333,642,414
Addis Ababa,Addis Ketema Sub City,Woreda 11 Philipos Health Center,2017,1179,1382,2668,4118,2750
Addis Ababa,Addis Ketema Sub City,Woreda 3 Health Center,2017,386,540,1172,1710,1123
Addis Ababa,Akaki Kality Sub City,Akaki Health Center,2017,2839,2656,3652,7952,5289
Addis Ababa,Akaki Kality Sub City,Gelan Health Center,2017,2452,3171,5297,8768,5639
Addis Ababa,Akaki Kality Sub City,Gelan Gura Health center,2017,334,484,696,1412,936
Addis Ababa,Akaki Kality Sub City,Kality Health Center,2017,1172,1723,3400,4996,3260
Addis Ababa,Akaki Kality Sub City,Saris_PHCU,2016,915,1526,2687,4462,2922
Addis Ababa,Akaki Kality Sub City,Selam Frea Health Center,2016,542,828,1491,2367,1539
Addis Ababa,Akaki Kality Sub City,Sertie Health Center,2016,1326,1510,2713,4558,2996
Addis Ababa,Arada Sub City,Abuare Health Center,2016,225,334,808,1084,730
Addis Ababa,Arada Sub City,Arada Health Center_Closed,2016,160,175,386,525,349
Addis Ababa,Arada Sub City,Bashawolid health center,2016,62,159,293,357,225
Addis Ababa,Arada Sub City,Janmeda Health Center,2016,2784,1841,3688,6040,4186
Addis Ababa,Arada Sub City,Kebena Health Center,2016,1114,750,1660,2316,1449
Addis Ababa,Arada Sub City,Semen Health Center,2016,1236,1254,2251,3763,2509
Addis Ababa,Bole Sub City,Bole 17 Health Center,2016,993,1036,2057,3371,2225
Addis Ababa,Bole Sub City,Bole 17/20 Health Center,2016,520,779,1339,2461,1676
Addis Ababa,Bole Sub City,Bulbula Health Center,2016,1805,2404,4459,8079,5441
Addis Ababa,Bole Sub City,Bole Sub City Health Office,2016,9290,5308,9008,16742,11210
Addis Ababa,Bole Sub City,Dil Fere Health Center,2016,1415,1760,2755,5249,3462
Addis Ababa,Bole Sub City,Gerji Health Center,2016,1206,1804,3026,5275,3446
Addis Ababa,Bole Sub City,Yekatit 12 General Hospital Medical College,2016,8864,164,158,545,369
Addis Ababa,Gulele Sub City,Addis Hiwot health Center,2016,433,613,1228,1796,1181
Addis Ababa,Gulele Sub City,Addisu Gebaya Health Center,2016,711,1002,2368,3185,2009
Addis Ababa,Gulele Sub City,Entoto Fana Health Center,2016,810,1226,2484,3668,2428
Addis Ababa,Gulele Sub City,Hidasie Health Henter,2016,741,1049,2072,2845,1869
Addis Ababa,Gulele Sub City,Maychew Health Center,2016,748,827,1549,2486,1625
Addis Ababa,Gulele Sub City,Selam Health Center,2016,652,776,1579,2452,1629
Addis Ababa,Gulele Sub City,Shegole Health Center,2016,604,974,1674,2843,1875
