Region,Zone,Woreda,Period,BCG Distributed,IPV Distributed,Measles Distributed,Penta Distributed,Rota Distributed
Addis Ababa,Addis Ketema Sub City,Abebe Bikila Health Center,2015,1280,910,1600,2919,1754
Addis Ababa,Addis Ketema Sub City,Abisiniya Health center,2015,1380,645,510,1571,979
Addis Ababa,Addis Ketema Sub City,Addis Ketema Health Center,2015,2260,1390,2800,4235,2394
Addis Ababa,Addis Ketema Sub City,Ginbot 20 HC,2015,820,695,790,931,645
Addis Ababa,Addis Ketema Sub City,Kuas Meda HC,2015,980,985,1250,1894,1199
Addis Ababa,Addis Ketema Sub City,Addis Rae HC,2015,500,310,720,948,513
Addis Ababa,Addis Ketema Sub City,Ethiotebib GH,2015,2480,1080,2090,3936,2411
Addis Ababa,Addis Ketema Sub City,Felege Mels ,2017,2240,1680,2580,3289,2000
Addis Ababa,Addis Ketema Sub City,Kolfe Health Center,2017,5960,3195,9000,9891,5573
Addis Ababa,Addis Ketema Sub City,LomiMeda ,2017,2300,1875,4820,7029,3659
Addis Ababa,Addis Ketema Sub City,MikililandHealth Center,2017,6200,3885,8890,12966,6741
Addis Ababa,Addis Ketema Sub City,Millinium Health center,2017,480,465,480,1082,682
Addis Ababa,Addis Ketema Sub City,Woreda 10 Health Center,2017,340,215,150,339,218
Addis Ababa,Addis Ketema Sub City,Woreda 11 Philipos Health Center,2017,2300,1695,3940,4634,2763
Addis Ababa,Addis Ketema Sub City,No Name,2017,680,405,850,1862,862
Addis Ababa,Akaki Kality Sub City,Akaki Health Center,2017,5660,5290,7140,10638,6011
Addis Ababa,Akaki Kality Sub City,Gelan HC,2017,4760,5655,8050,10744,4456
Addis Ababa,Akaki Kality Sub City,Gelan Gura Health center,2017,760,1445,1910,2197,1353
Addis Ababa,Akaki Kality Sub City,Kality Health Center,2017,3160,4310,5060,6782,3905
Addis Ababa,Akaki Kality Sub City,Saris_PHCU,2016,3380,2910,3920,6051,3896
Addis Ababa,Akaki Kality Sub City,Selam Frea Health Center,2016,1100,1350,2070,2802,1693
Addis Ababa,Akaki Kality Sub City,Sertie Health Center,2016,3680,2060,3000,5147,2885
Addis Ababa,Arada Sub City,Abuare Health Center,2016,820,690,520,1429,931
Addis Ababa,Arada Sub City,Arada Health Center_Closed,2016,1240,545,200,1604,975
Addis Ababa,Arada Sub City,Bashawolid health center,2016,360,140,3500,293,196
Addis Ababa,Arada Sub City,Janmeda Health Center,2016,6860,2460,2180,7127,4625
Addis Ababa,Arada Sub City,Kebena Health Center,2016,2820,1805,100,3502,1977
Addis Ababa,Arada Sub City,Semen Health Center,2016,2680,2175,660,4565,2681
Addis Ababa,Bole Sub City,Bole 17 Health Center,2016,960,750,1210,2574,1616
Addis Ababa,Bole Sub City,Bole 17/20 Health Center,2016,720,810,1330,2256,1467
Addis Ababa,Bole Sub City,Bulbula Health Center,2016,2300,2105,3910,6257,3950
Addis Ababa,Bole Sub City,Bole Sub City Health Office,2016,13960,9565,12270,22493,15799
Addis Ababa,Bole Sub City,Dil Fere Health Center,2016,1540,1675,2120,4280,2692
Addis Ababa,Bole Sub City,Gerji Health Center,2016,1460,1550,2620,4298,2621
Addis Ababa,Bole Sub City,Yekatit 12 General Hospital Medical College,2016,9920,115,300,776,601
Addis Ababa,Gulele Sub City,Addis Hiwot health Center,2016,760,470,100,1410,880
Addis Ababa,Gulele Sub City,Addisu Gebaya Health Center,2016,1080,975,2060,2719,1807
Addis Ababa,Gulele Sub City,Entoto Fana Health Center,2016,920,1030,1970,2982,1831
Addis Ababa,Gulele Sub City,Hidasie Health Henter,2016,660,780,270,2164,1257
Addis Ababa,Gulele Sub City,Maychew Health Center,2016,1680,720,220,2012,1245
Addis Ababa,Gulele Sub City,Selam Health Center,2016,880,705,1140,1984,1279
Addis Ababa,Gulele Sub City,Shegole Health Center,2016,480,725,1100,2426,1364
Addis Ababa,Gulele Sub City,Shiromeda Health Center,2016,400,365,740,1025,672
Addis Ababa,Gulele Sub City,Tibeb Bekechene Health Center,2016,1240,815,1370,2006,1247
Addis Ababa,Hospital,Tirunesh Beijing Hospital,2016,4020,1460,2450,3070,1996
Addis Ababa,Hospital,Ras Desta Damitew General Hospital,2016,2600,140,160,571,283
Addis Ababa,Hospital,Gandhi MCH Speciality Center,2016,7620,485,470,286,191
Addis Ababa,Hospital,Zewditu Memorial General Hospital,2016,6060,270,490,576,339
Addis Ababa,Hospital,ALERT General Hospital,2016,6320,525,970,984,328
Addis Ababa,Hospital,Eka Kotebe General Hospital,2016,4460,220,710,883,574
Addis Ababa,Hospital,Dagmawi Minilik Comprehensive Specialized Hospital,2016,1460,60,130,277,188
Addis Ababa,Kirkos Sub City,Betsegah Maternal and Child Health Specialty center,2016,1600,1025,1470,2672,1806
Addis Ababa,Kirkos Sub City,Efoyita Health Center,2016,340,440,830,953,560
Addis Ababa,Kirkos Sub City,Felegehiwot Health Center,2016,300,375,1140,537,302
Addis Ababa,Kirkos Sub City,Feresmeda Health Center,2016,1460,465,1380,1853,1204
Addis Ababa,Kirkos Sub City,Goteramasalecha Health Center,2016,5660,1175,2100,3151,2242
Addis Ababa,Kirkos Sub City,Hiwotamba Health Center,2016,840,765,1410,1547,960
Addis Ababa,Kirkos Sub City,Kazanchise_PHCU,2016,1900,2165,3430,4381,3915
Addis Ababa,Kirkos Sub City,Kirkos Health Center,2016,1600,1400,2140,2880,1796
